Imagen,Ruta,Ancho,Alto,Calidad
VentSuc01_2025-08-18_16-28-22_RS_T49_14.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T49_14.png,283,288,422
VentSuc01_2025-08-18_16-28-21_RS_T64_2.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-21_RS_T64_2.png,293,288,422
VentSuc01_2025-08-18_16-28-21_RS_T59_4.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-21_RS_T59_4.png,274,288,422
VentSuc01_2025-08-18_16-28-21_RS_T91_3.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-21_RS_T91_3.png,333,288,No_Calidad
VentSuc01_2025-08-18_16-28-21_RS_T88_1.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-21_RS_T88_1.png,337,288,No_Calidad
Imagen1.jpeg,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/Pruebas imagen/Imagen1.jpeg,1174,1394,Autenticacion
VentSuc01_2025-08-18_16-28-22_RS_T52_6.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T52_6.png,280,288,422
VentSuc01_2025-08-18_16-28-22_RS_T54_8.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T54_8.png,283,288,422
VentSuc01_2025-08-18_16-28-22_RS_T57_12.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T57_12.png,288,288,422
VentSuc01_2025-08-18_16-28-22_RS_T50_16.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T50_16.png,285,288,422
VentSuc01_2025-08-18_16-28-22_RS_T92_11.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T92_11.png,333,288,No_Calidad
VentSuc01_2025-08-18_16-28-22_RS_T55_10.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T55_10.png,280,288,422
VentSuc01_2025-08-18_16-28-22_RS_T91_5.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T91_5.png,333,288,No_Calidad
VentSuc01_2025-08-18_16-28-22_RS_T91_9.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T91_9.png,330,288,No_Calidad
VentSuc01_2025-08-18_16-28-22_RS_T89_15.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T89_15.png,338,288,No_Calidad
VentSuc01_2025-08-18_16-28-22_RS_T92_7.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T92_7.png,333,288,No_Calidad
VentSuc01_2025-08-18_16-28-22_RS_T92_13.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-22_RS_T92_13.png,337,288,No_Calidad
VentSuc01_2025-08-18_16-28-23_RS_T48_23.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T48_23.png,336,288,422
VentSuc01_2025-08-18_16-28-23_RS_T51_25.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T51_25.png,318,288,422
VentSuc01_2025-08-18_16-28-23_RS_T54_27.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T54_27.png,285,288,422
VentSuc01_2025-08-18_16-28-23_RS_T52_29.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T52_29.png,283,288,422
VentSuc01_2025-08-18_16-28-23_RS_T87_17.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T87_17.png,328,288,No_Calidad
VentSuc01_2025-08-18_16-28-23_RS_T54_21.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T54_21.png,254,288,422
VentSuc01_2025-08-18_16-28-23_RS_T55_20.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T55_20.png,294,288,422
VentSuc01_2025-08-18_16-28-23_RS_T61_18.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T61_18.png,277,288,422
VentSuc01_2025-08-18_16-28-23_RS_T88_26.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T88_26.png,339,288,No_Calidad
VentSuc01_2025-08-18_16-28-23_RS_T83_24.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T83_24.png,334,288,No_Calidad
VentSuc01_2025-08-18_16-28-23_RS_T87_28.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T87_28.png,332,288,No_Calidad
VentSuc01_2025-08-18_16-28-24_RS_T44_34.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T44_34.png,318,288,422
VentSuc01_2025-08-18_16-28-23_RS_T92_22.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T92_22.png,333,288,No_Calidad
VentSuc01_2025-08-18_16-28-23_RS_T89_19.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-23_RS_T89_19.png,324,288,No_Calidad
VentSuc01_2025-08-18_16-28-24_RS_T40_36.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T40_36.png,300,288,422
VentSuc01_2025-08-18_16-28-24_RS_T51_33.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T51_33.png,304,288,422
VentSuc01_2025-08-18_16-28-24_RS_T51_37.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T51_37.png,331,288,No_Calidad
VentSuc01_2025-08-18_16-28-24_RS_T49_32.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T49_32.png,295,288,422
VentSuc01_2025-08-18_16-28-24_RS_T72_39.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T72_39.png,308,288,No_Calidad
VentSuc01_2025-08-18_16-28-24_RS_T52_35.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T52_35.png,337,288,No_Calidad
VentSuc01_2025-08-18_16-28-24_RS_T63_31.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T63_31.png,339,288,No_Calidad
VentSuc01_2025-08-18_16-28-24_RS_T73_1.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T73_1.png,332,288,No_Calidad
VentSuc01_2025-08-18_16-28-24_RS_T72_41.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T72_41.png,329,288,No_Calidad
VentSuc01_2025-08-18_16-28-24_RS_T73_38.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T73_38.png,324,288,No_Calidad
VentSuc01_2025-08-18_16-28-25_RS_T55_10.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T55_10.png,301,288,422
VentSuc01_2025-08-18_16-28-24_RS_T76_40.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T76_40.png,333,288,No_Calidad
VentSuc01_2025-08-18_16-28-25_RS_T50_5.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T50_5.png,285,288,422
VentSuc01_2025-08-18_16-28-24_RS_T76_30.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-24_RS_T76_30.png,336,288,No_Calidad
VentSuc01_2025-08-18_16-28-25_RS_T73_2.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T73_2.png,326,288,No_Calidad
VentSuc01_2025-08-18_16-28-25_RS_T56_12.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T56_12.png,279,288,422
VentSuc01_2025-08-18_16-28-25_RS_T62_8.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T62_8.png,283,288,422
VentSuc01_2025-08-18_16-28-25_RS_T76_11.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T76_11.png,305,288,No_Calidad
VentSuc01_2025-08-18_16-28-25_RS_T74_7.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T74_7.png,330,288,No_Calidad
VentSuc01_2025-08-18_16-28-25_RS_T75_4.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T75_4.png,330,288,No_Calidad
VentSuc01_2025-08-18_16-28-25_RS_T76_14.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T76_14.png,291,288,No_Calidad
VentSuc01_2025-08-18_16-28-25_RS_T73_9.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T73_9.png,304,288,No_Calidad
VentSuc01_2025-08-18_16-28-25_RS_T76_6.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T76_6.png,322,288,No_Calidad
VentSuc01_2025-08-18_16-28-25_RS_T77_15.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T77_15.png,291,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T42_32.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T42_32.png,268,288,422
VentSuc01_2025-08-18_16-28-26_RS_T41_27.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T41_27.png,265,288,422
VentSuc01_2025-08-18_16-28-25_RS_T79_3.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T79_3.png,327,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T41_30.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T41_30.png,270,288,422
VentSuc01_2025-08-18_16-28-25_RS_T80_13.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-25_RS_T80_13.png,299,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T53_23.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T53_23.png,273,288,422
VentSuc01_2025-08-18_16-28-26_RS_T49_35.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T49_35.png,342,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T45_25.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T45_25.png,268,288,422
VentSuc01_2025-08-18_16-28-26_RS_T43_34.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T43_34.png,267,288,422
VentSuc01_2025-08-18_16-28-26_RS_T53_33.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T53_33.png,333,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T58_21.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T58_21.png,280,288,422
VentSuc01_2025-08-18_16-28-26_RS_T56_19.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T56_19.png,270,288,422
VentSuc01_2025-08-18_16-28-26_RS_T71_22.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T71_22.png,309,288,No_Calidad
VentSuc01_2025-08-18_16-28-26_RS_T58_31.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-26_RS_T58_31.png,329,288,No_Calidad
